CHARGE,CHARGE_TYPE_CLASSIFICATION
FAIL TO YIELD,misdemeanor
MOTOR VEHICLE INSPECTION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
DRIVING ON A SUSPNEDED/REVOKED LICENSE NON DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI,misdemeanor
CHILD NEGLECT CREATING SUBSTANTIAL RISK OF SERIOUS INJURY,felony
DRIVING UNDER THE INFLUENCE WITH AN ALCOHOL CONCENTRATION IN BLOOD GREATER THAN OR EQUAL TO .15,misdemeanor
DOMESTIC BATTERY- UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
DOMESTIC BATTERY- UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER, REPEAT OFFENSES",misdemeanor
PETIT LARCENY,misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER, REPEAT OFFENSES",misdemeanor
FAILURE TO OBEY OFFICIAL TRAFFIC-CONTROL DEVICE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
FRAUD AND RELATED ACTIVITY IN CONNECTION WITH ACCESS DEVICES,misdemeanor
PERSONS PROHIBITED FROM POSSESSING FIREARMS; CLASSIFICATIONS,felony
PERSONS PROHIBITED FROM POSSESSING FIREARMS; CLASSIFICATIONS,misdemeanor
DRIVING WHILE LICENSE REVOKED- DRIVING UNDER THE INFLUENCE,misdemeanor
DOMESTIC ASSAULT- UNLAWFUL USE OF FORCE CAPABLE OF CAUSING PAIN/INJURY TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
FUGITIVE FROM JUSTICE,felony
DELIVERY OF SCHEDULE II CONTROLLED SUBSTANCE,felony
FUGITIVE FROM JUSTICE,felony
DELIVERY OF SCHEDULE II CONTROLLED SUBSTANCE,felony
DRIVING WHILE LICENSE REVOKED-DUI,misdemeanor
DELIVERY OF SCHEDULE II CONTROLLED SUBSTANCE,felony
KNOWINGLY POSSESS CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
KNOWINGLY POSSESS CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
KNOWINGLY POSSESS CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
SHOPLIFTING - 3RD OR SUBSEQUENT OFFENSE,felony
NO SEATBELT,misdemeanor
STALKING,misdemeanor
DOMESTIC BATTERY,misdemeanor
PETIT LARCENY,misdemeanor
TRUANCY,misdemeanor
DRIVING REVOKED,misdemeanor
SHOOTING ACROSS ROAD OR NEAR BUILDING OR CROWD,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
"MALICIOUS ASSAULT OF GOVERNMENT REPRESENTATIVE, HEALTHCARE WORKER OR EMERGENCY SERVICE PERSONNEL",misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
TRUANCY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
TRANSFERRING AND RECEIVING STOLEN PROPERTY,misdemeanor
GRAND LARCENY,felony
CONSPIRACY TO COMMIT A FELONY,felony
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
SUSPENDED/REVOKED,misdemeanor
NO INSURANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND",misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
FAILURE TO PRODUCE OPERATORS,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
NO PERSON MAY DRIVE ANY MOTOR VEHICLE UPON A STREET WITHOUT A VALID DRIVERS LICENSE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
LITTERING 100-500 LBS,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND (REGIST UNSIGNED)",misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,petty_offense
OPEN DUMP,misdemeanor
UNSAFE AND IMPROPERLY EQUIPPED;APPLICABILITY OF ARTICLE TO FARM AND ROAD EQUIPMENT,misdemeanor
DOMESTIC BATTERY,misdemeanor
PUBLIC INTOXICATION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
PERSONS PROHIBITED FROM POSSESSING FIREARMS,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
DISORDERLY CONDUCT,misdemeanor
DOMESTIC BATTERY,misdemeanor
PERSONS PROHIBITED POSSESSING FIREARMS (DOMESTIC ASSAULT),misdemeanor
DOMESTIC BATTERY,misdemeanor
PERSONS PROHIBITED FROM POSSESSING FIREARMS,misdemeanor
MAKING FALSE STATEMENT TO OFFICER,misdemeanor
EXPIRED REGISTRATION,misdemeanor
BATTERY,misdemeanor
EXPIRED MVI,misdemeanor
PROHIBITED POSSESSION OF FIREARM,felony
BRANDISHING DEADLY WEAPON,misdemeanor
BURGLARY,felony
PETIT LARCENY,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
CONSPIRACY,felony
RECEIVING/ TRANSFERRING STOLEN GOODS,misdemeanor
ASSAULT,misdemeanor
POSSESSION OF STOLEN VEHICLE,felony
RECEIVING/TRANSFERRING STOLEN VEHICLE,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
BRANDISHING DEADLY WEAPON,misdemeanor
ASSAULT,misdemeanor
GRAND LARCENY,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
PERSONS PROHIBITED POSSESSING FIREARMS (DOMESTIC ASSAULT),misdemeanor
STRANGULATION,felony
MALICIOUS ASSAULT,felony
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
POSSESSION WITH INTENT TO DELIVER SCHEDULE IV,felony
SPEEDING,misdemeanor
SPEEDING,misdemeanor
MANUFACTURE WITH INTENT TO DELIVER SCHEDULE IV,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
PETIT LARCENY,misdemeanor
DOMESTIC BATTERY,misdemeanor
"SEXUAL ASSAULT, 3RD OFFENSE",felony
COMPULSORY EDUCATION OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
CHILD ABUSE RESULTING IN INJURY,felony
CHILD ABUSE RESULTING IN INJURY,felony
DAYTIME BURGLARY,felony
PETIT LARCENY,felony
DOMESTIC BATTERY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
SEAT BELT VIOLATION,misdemeanor
PETIT LARCENY,misdemeanor
"FORGING, UTTERING, OR ATTEMPTING TO EMPLOY AS TRUE, A FORGED WRITING TO THE PREJUDICE OF ANOTHER",felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
DOMESTIC BATTERY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE FIRST OFFENSE,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DEFECTIVE EQUIPMENT - EXHAUST VIOLATION,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
FUGITIVES FROM ANOTHER STATE,petty_offense
BATTERY,misdemeanor
SEATBELT,misdemeanor
OPERATION OF VEHICLES WITH SAFETY BELTS,misdemeanor
UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
DRIVING SUSPENDED/ REVOKED,misdemeanor
NO MVI,misdemeanor
NO SEATBELT,misdemeanor
CONTRIBUTING TO THE NEGLECT OF A CHILD BY EXPOSING CHILD TO PORNOGRAPHY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC ASSAULT,misdemeanor
PETIT LARCENY,misdemeanor
DOMESTIC ASSAULT,felony
BURGLARY,felony
PETIT LARCENY,misdemeanor
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
GRAND LARCENY,felony
SHOPLIFTING,misdemeanor
PETIT LARCENY,felony
SHOPLIFTING,misdemeanor
BURGLARY,felony
FALSE PRETENSES,misdemeanor
FALSE PRETENSES,misdemeanor
FAILURE TO YIELD,misdemeanor
KNOWINGLY POSSESS CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
DOMESTIC BATTERY - UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
OBSTRUCTING OFFICER; PENALTIES; DEFINITIONS,misdemeanor
FOREST FIRE SEASONS; PERMITS FOR FIRES; PROHIBITED FIRES; CLOSURE OF FORESTS,misdemeanor
BATTERY ON A GOVERNMENT EMPLOYEE AND/OR MEDICAL PERSONNEL,misdemeanor
ASSAULT,misdemeanor
BATTERY,misdemeanor
REQUIRED SIGNALS,misdemeanor
LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND,misdemeanor
INTOXICATION OF DRINKING PUBLIC PLACES,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DISORDERLY CONDUCT,misdemeanor
OPERATION OF VEHICLES WITH SAFETY BELTS,misdemeanor
DUI,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER-FENTANYL,felony
POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER FENTANYL LESS THAN 1 GRAM,felony
SPEEDING,misdemeanor
"MOTORBOATING, ENFORCEMENT",misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
"MOTORBOATING, ENFORCEMENT",misdemeanor
SHOPLIFTING,misdemeanor
SHOPLIFTING,misdemeanor
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
"SHOPLIFTING, 3RD OFFENSE",felony
"MAKING, ISSUING WORTHLESS CHECKS",misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
SHOPLIFTING,misdemeanor
POSSESSION OF WILDLIFE,misdemeanor
SHOPLIFTING,misdemeanor
SHOPLIFTING,misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
THE DEPARTMENT IS AUTHORIZED TO SUSPEND OR REVOKE THE LICENSE OF ANY RESIDENT OF THIS STATE,petty_offense
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,petty_offense
OPERATION WITHOUT CERTIFIED INSPECTION,misdemeanor
POSSESSION W/INTENT TO DELIVER CONT/SUBSTANCE,felony
SHOPLIFTING,misdemeanor
DOMESTIC BATTERY,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/ REVOKED NON- DRIVING UNDER THE INFLUENCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
FLEEING FROM OFFICER,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DISORDERLY CONDUCT,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
IMPERSONATION OF LAW ENFORCEMENT OFFICER OR OFFICIAL,misdemeanor
IMPERSONATION OF LAW ENFORCEMENT OFFICER OR OFFICIAL,misdemeanor
DRIVING UNDER THE INFLUENCE OF ALCOHOL,misdemeanor
DRIVING SUSPENDED/REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DISRUPTION OF PUBLIC GATHERING,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
DUI,misdemeanor
FAILURE TO PROCESS,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT REGISTRATION,misdemeanor
DUI,misdemeanor
TRUANCY,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
TRUANCY,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTIO OF PROPERTY,misdemeanor
BURGLARY,felony
DOMESTIC BATTERY,misdemeanor
GRAND LARCENY,felony
DOMESTIC BATTERY,misdemeanor
BURGLARY,felony
PETIT LARCENY,misdemeanor
TRANSFER AND RECEIVE,felony
FRAUDULENT SCHEME,felony
PETIT LARCENY,misdemeanor
INTERFERENCE PREVENTION OR DEPRIVATION OF ACCESS TO EMERGENCY SERVICES,misdemeanor
USE OF OBSCENE MATTER TO SEDUCE MINOR,felony
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
GRAND LARCENY,felony
CELL PHONE VIOLATION,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
DRIVING UNDER THE INFLUENCE WITH A MINOR,misdemeanor
POSSESSION WITH INTENT TO DELIVER HEROIN,felony
CONSPIRACY TO DELIVER HEROIN,felony
DRIVING SUSPENDED / REVOKED FOR DUI,misdemeanor
CONSPIRACY TO DELIVERY OF HEROIN,felony
CONSPIRACY TO DELIVERY OF HEROIN,felony
CONSPIRACY TO DELIVERY OF HEROIN,felony
POSSESSION WITH INTENT TO DELIVER HEROIN,felony
CONSPIRACY TO DELIVERY HEROIN,felony
CONSPIRACY TO DELIVERY OF HEROIN,felony
POSSESSION WITH INTENT TO DELIVER HEROIN,felony
POSSESSION WITH INTENT TO DELIVER HEROIN,felony
NO PROOF OF INSURANCE,misdemeanor
POSSESSION WITH INTENT TO DELIVER HEROIN,felony
CONSPIRACY TO DELIVERY OF HEROIN,felony
CHILD NEGLECT CREATING SERIOUS INJURY / DEATH,felony
DRIVING SUSPENDED / REVOKED FOR DUI,misdemeanor
ALCOHOL SALES TO UNDERAGE,petty_offense
SELL BEER/ALCOHOL TO MINOR,petty_offense
NO INSURANCE,misdemeanor
FRAUD MVI,misdemeanor
FUGITIVE FROM JUSTICE,felony
DOMESTIC BATTERY,misdemeanor
SHOPLIFTING,misdemeanor
RESISTING ARREST,misdemeanor
FALSLEY REPORTING AN EMERGENCY,misdemeanor
SHOPLIFTING - CONCEALED MERCHANDISE,misdemeanor
DRIVING SUSPENDED/REVOKED - NON DUI,misdemeanor
SHOPLIFTING,misdemeanor
REGISTRATION CARD TO BE SIGNED CARRIED AND EXHIBITED ON DEMAND,misdemeanor
BURGLARY,felony
FUGITIVE FROM JUSTICE,felony
"SHOPLIFTING, 3RD OFFENSE",felony
"SHOPLIFTING, 2ND OFFENSE",misdemeanor
FUGITIVE FROM JUSTICE - VIRGINIA,felony
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
EXPIRED REGISTRATION,misdemeanor
IMPROPER DISPLAY,petty_offense
REVOKED DRIVING LICENSE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
NO INSURANCE,misdemeanor
NO PROOF INSURANCE,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
CHILD NEGLECT,felony
DUI,misdemeanor
FELONY ESCAPE FROM CUSTODY OF THE COMMISSIONER OF CORRECTIONS,felony
DOMESTIC ASSAULT,misdemeanor
DAYTIME BURGLARY BY ENTERING WITHOUT BREAKING,felony
BRANDISHING DEADLY WEAPONS;THREATENING OR CAUSING BREACH OF THE PEACE;CRIMINAL PENALTIES,misdemeanor
BREAKING AND ENTERING,felony
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
BREAKING AND ENTERING,felony
DUI W/ MINOR,misdemeanor
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY OR INSTITUTION FELONY AND MISD,felony
PETIT LARCENY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DAYTIME BURGLARY,felony
CHILD NEGLECT WITH SERIOUS INJURY,felony
DUI WITH A MINOR,misdemeanor
POSSESSION CONT/SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
PETIT LARCENY,misdemeanor
SEAT BELT VIOLATION,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECKS",misdemeanor
POSSESSION WITH INTENT TO DELIVER NARCOTICS,felony
POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
POSSESSION WITH INTENT TO DELIVER COCAINE,felony
CONSPIRACY TO TRANSPORT MARIJUANA INTO WEST VIRGINIA,felony
POSSESSION WITH INTENT TO DELIVER COCAINE,felony
CONSPIRACY TO POSSESS WITH INTENT TO DELIVER MARIJUANA,felony
CONSPIRACY TO POSSESS WITH INTENT TO DELIVER MARIJUANA,felony
CONSPIRACY TO POSSESS WITH INTENT TO DELIVER MARIJUANA,felony
DRIVING SUSPENDED/REVOKED FOR DUI,misdemeanor
EXPIRED REGISTRATION,misdemeanor
IMPROPER INSPECTION,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
DOMESTIC BATTERY-2ND,misdemeanor
FRAUDULENT USE OF A CREDIT CARD,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
DOMESTIC BATTERY,misdemeanor
BATTERY,misdemeanor
ATTEMPT TO COMMIT AN OFFENSE,felony
PUBLIC INTOXICATION,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DOMESTIC BATTERY,misdemeanor
FORGERY AND UTTERING,felony
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
FORGERY,felony
BURGLARY,felony
SPEED LIMITATIONS GENERALLY;PENALTY (10 MPH OR LESS ABOVE),misdemeanor
FLEEING,misdemeanor
NO SEAT BELT VIOLATION,misdemeanor
FORGERY AND UTTERING,felony
MALICIOUS WOUNDING,felony
NO PROOF OF INSURANCE,misdemeanor
ENTERING WITHOUT BREAKING,felony
GRAND LARCENY,felony
DOMESTIC BATTERY,misdemeanor
DRIVING UNDER THE INFLUENCE SECOND OFFENSE,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
DELIVERING A CONTROLLED SUBSTANCE (COCAINE),felony
AGGRAVATED DRIVING UNDER THE INFLUENCE,misdemeanor
SPEEDING,misdemeanor
DRIVING SUSPENDED/REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE SECOND OFFENSE,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI 3RD OFFENSE,felony
UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI,misdemeanor
RECKLESS DRIVING,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A PRESCRIPTION,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND",misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI - 2ND OFFENSE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI,misdemeanor
DRIVING WHILE LICENSE SUSPENDED /REVOKED,misdemeanor
CARRYING DANGEROUS WEAPON,misdemeanor
STALKING,misdemeanor
CONDITIONAL DISCHARGE FOR FIRST OFFENSE OF POSSESSION,misdemeanor
SEAT BELT,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
VIOLATIONS OF PROTECTIVE ORDERS,misdemeanor
VIOLATIONS OF PROTECTIVE ORDERS,misdemeanor
PETIT LARCENY,misdemeanor
DESTRUCTION OF PROPERTY,felony
PETIT LARCENY,misdemeanor
GRAND LARCENY,felony
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES",misdemeanor
FELONY CONSPIRACY,felony
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES",misdemeanor
RECEIVING/TRANSFERRING STOLEN PROPERTY,felony
PETIT LARCENY,misdemeanor
GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
UNAUTHORIZED ACTS WITH REGARDS TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
DAYTIME BURGLARY; NON-FORCED ENTRY,felony
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES",misdemeanor
BATTERY,misdemeanor
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES",misdemeanor
RECEIVING/TRANSFERRING STOLEN PROPERTY,felony
GRAND LARCENY,felony
RECEIVING/TRANSFER STOLEN PROPERTY,felony
NO INSURANCE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
GROSS CHILD NEGLECT CREATING SUBSTANTIAL RISK OF SERIOUS BODILY INJURY,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
UNLAWFUL USE OF LICENSE OR NON-OPERATOR'S IDENTIFICATION,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO A VEHICLE,misdemeanor
DOG RUNNING AT LARGE,misdemeanor
SHOPLIFTING,misdemeanor
SPEEDING,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
SPEEDING,misdemeanor
EXP OL,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY(10 MPH OR LESS ABOVE),misdemeanor
NO INSURANCE,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
STOP SIGN,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
TRUANCY,misdemeanor
FLEEING,felony
DUTY UPON STRIKING UNATTENDED VEHICLE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
DOMESTIC BATTERY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
NO SEAT BELT,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
SPEEDING,misdemeanor
EXPIRED MVI,misdemeanor
NO REGISTRATION,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
SHOPLIFTING,misdemeanor
SHOPLIFTING SECOND OFFENSE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
SIMPLE POSSESSION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
CONSPIRACY,felony
DOMESTIC BATTERY,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
UNLAWFUL/MALICIOUS WOUNDING,felony
CONSPIRACY,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DOMESTIC BATTERY,misdemeanor
SPEEDING,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONT/SUB,felony
DUI,misdemeanor
FUGITIVE FROM ANOTHER STATE,felony
USING CELL PHONE WITHOUT HANDS FREE,misdemeanor
